;,ENVI Out,put,of RO,Is (5.5.1),[Tue Nov 05,11:47:24 20,19],,,
;,Number o,f R,OIs: 1,,,,,,,
;,File Dim,ens,ion: 4,178 x 6402,,,,,,
;,,,,,,,,,,
;,ROI name,: B,lue Ta,rps,,,,,,
;,ROI rgb,val,ue: {2,"55, 0, 0}",,,,,,
;,ROI npts,: 4,446,,,,,,,
;,ID,X,Y,Map X,Map Y,Lat,Lon,B1,B2,B3
,1,443,147,772350,2049951.37,18.522574,-72.420319,77,94,99
,2,441,148,772349.84,2049951.29,18.522574,-72.420321,79,98,103
,3,442,148,772349.92,2049951.29,18.522574,-72.42032,77,99,102
,4,443,148,772350,2049951.29,18.522574,-72.420319,76,94,99
,5,440,148,772349.76,2049951.29,18.522574,-72.420322,80,95,103
,6,438,149,772349.6,2049951.21,18.522573,-72.420323,80,96,107
,7,439,149,772349.68,2049951.21,18.522573,-72.420322,80,96,106
,8,440,149,772349.76,2049951.21,18.522573,-72.420322,79,95,105
,9,441,149,772349.84,2049951.21,18.522573,-72.420321,78,96,104
,10,442,149,772349.92,2049951.21,18.522573,-72.42032,77,95,103
,11,443,149,772350,2049951.21,18.522573,-72.420319,76,91,100
,12,444,149,772350.08,2049951.21,18.522573,-72.420319,74,89,97
,13,435,150,772349.36,2049951.13,18.522572,-72.420326,82,100,116
,14,436,150,772349.44,2049951.13,18.522572,-72.420325,81,99,114
,15,437,150,772349.52,2049951.13,18.522572,-72.420324,81,97,112
,16,438,150,772349.6,2049951.13,18.522572,-72.420323,80,97,111
,17,439,150,772349.68,2049951.13,18.522572,-72.420322,80,96,109
,18,440,150,772349.76,2049951.13,18.522572,-72.420322,79,95,108
,19,441,150,772349.84,2049951.13,18.522572,-72.420321,78,95,106
,20,442,150,772349.92,2049951.13,18.522572,-72.42032,77,93,104
,21,443,150,772350,2049951.13,18.522572,-72.420319,76,90,100
,22,444,150,772350.08,2049951.13,18.522572,-72.420319,74,88,97
,23,433,151,772349.2,2049951.05,18.522572,-72.420327,83,105,122
,24,434,151,772349.28,2049951.05,18.522572,-72.420326,83,103,120
,25,435,151,772349.36,2049951.05,18.522572,-72.420326,82,101,118
,26,436,151,772349.44,2049951.05,18.522571,-72.420325,82,100,116
,27,437,151,772349.52,2049951.05,18.522571,-72.420324,82,99,115
,28,438,151,772349.6,2049951.05,18.522571,-72.420323,81,98,114
,29,439,151,772349.68,2049951.05,18.522571,-72.420322,80,97,112
,30,440,151,772349.76,2049951.05,18.522571,-72.420322,78,96,110
,31,441,151,772349.84,2049951.05,18.522571,-72.420321,78,95,108
,32,442,151,772349.92,2049951.05,18.522571,-72.42032,77,92,105
,33,443,151,772350,2049951.05,18.522571,-72.420319,76,89,101
,34,444,151,772350.08,2049951.05,18.522571,-72.420319,74,87,98
,35,430,152,772348.95,2049950.97,18.522571,-72.420329,88,117,137
,36,431,152,772349.03,2049950.97,18.522571,-72.420329,86,114,133
,37,432,152,772349.12,2049950.97,18.522571,-72.420328,85,110,129
